0: x=0.59236 y=0.09576 w=0.02202 h=0.04108 area=15308 aspect=1.06
1: x=0.31000 y=0.32238 w=0.01475 h=0.02035 area=9731 aspect=0.79
2: x=0.12685 y=0.09354 w=0.02018 h=0.04603 area=8990 aspect=1.30
3: x=0.23813 y=0.23288 w=0.02137 h=0.04146 area=8384 aspect=1.11
4: x=0.96593 y=0.29630 w=0.01898 h=0.02606 area=7347 aspect=0.78
5: x=0.37075 y=0.20204 w=0.01388 h=0.05287 area=6744 aspect=2.17
6: x=0.96700 y=0.25903 w=0.01714 h=0.02739 area=6446 aspect=0.91
7: x=0.96802 y=0.15432 w=0.01562 h=0.03385 area=6396 aspect=1.24
8: x=0.80452 y=0.26037 w=0.01074 h=0.02130 area=6129 aspect=1.13
9: x=0.96867 y=0.08087 w=0.01725 h=0.03024 area=6052 aspect=1.00
10: x=0.96720 y=0.18598 w=0.01551 h=0.03347 area=6023 aspect=1.23
11: x=0.96712 y=0.36555 w=0.01410 h=0.03024 area=6004 aspect=1.22
12: x=0.96822 y=0.32849 w=0.01041 h=0.02491 area=5655 aspect=1.36
13: x=0.07118 y=0.25394 w=0.00976 h=0.02682 area=5519 aspect=1.57
14: x=0.15460 y=0.82810 w=0.02191 h=0.03100 area=4921 aspect=0.81
15: x=0.25048 y=0.67825 w=0.00900 h=0.02453 area=4721 aspect=1.55
16: x=0.55090 y=0.56793 w=0.00738 h=0.01426 area=3876 aspect=1.10
17: x=0.38873 y=0.31505 w=0.01757 h=0.02301 area=3785 aspect=0.75
18: x=0.52790 y=0.97808 w=0.01616 h=0.02054 area=3723 aspect=0.72
19: x=0.64249 y=0.20429 w=0.00792 h=0.01426 area=3678 aspect=1.03
20: x=0.74134 y=0.18426 w=0.00781 h=0.01750 area=3570 aspect=1.28
21: x=0.43838 y=0.28732 w=0.01486 h=0.02301 area=3514 aspect=0.88
22: x=0.67565 y=0.45544 w=0.00759 h=0.01217 area=3439 aspect=0.91
23: x=0.61636 y=0.54309 w=0.00705 h=0.01331 area=3125 aspect=1.08
24: x=0.56434 y=0.73686 w=0.00716 h=0.01483 area=3091 aspect=1.18
25: x=0.71304 y=0.48134 w=0.00694 h=0.01255 area=3059 aspect=1.03
26: x=0.25024 y=0.61441 w=0.00705 h=0.01712 area=3059 aspect=1.38
27: x=0.66090 y=0.78739 w=0.01063 h=0.01731 area=3053 aspect=0.93
28: x=0.96515 y=0.36526 w=0.00824 h=0.02035 area=2934 aspect=1.41
29: x=0.58504 y=0.50717 w=0.00694 h=0.01198 area=2929 aspect=0.98
30: x=0.97011 y=0.10832 w=0.01171 h=0.01807 area=2902 aspect=0.88
31: x=0.71290 y=0.52688 w=0.00683 h=0.01160 area=2843 aspect=0.97
32: x=0.24211 y=0.64826 w=0.00868 h=0.01103 area=2808 aspect=0.72
33: x=0.63346 y=0.47975 w=0.00618 h=0.01426 area=2725 aspect=1.32
34: x=0.59156 y=0.36017 w=0.00651 h=0.01350 area=2714 aspect=1.18
35: x=0.60558 y=0.22196 w=0.00803 h=0.02092 area=2709 aspect=1.49
36: x=0.02576 y=0.02442 w=0.01931 h=0.02301 area=2662 aspect=0.68
37: x=0.71840 y=0.54750 w=0.00792 h=0.00951 area=2613 aspect=0.68
38: x=0.74214 y=0.77619 w=0.00575 h=0.01636 area=2592 aspect=1.62
39: x=0.55964 y=0.24497 w=0.00629 h=0.01217 area=2585 aspect=1.10
40: x=0.61592 y=0.45940 w=0.02083 h=0.03537 area=2557 aspect=0.97
41: x=0.95999 y=0.32993 w=0.00640 h=0.02225 area=2545 aspect=1.98
42: x=0.30496 y=0.71119 w=0.00673 h=0.01350 area=2415 aspect=1.15
43: x=0.83431 y=0.21693 w=0.02235 h=0.02929 area=2397 aspect=0.75
44: x=0.73238 y=0.48923 w=0.00716 h=0.00875 area=2369 aspect=0.70
45: x=0.66173 y=0.05590 w=0.00759 h=0.01027 area=2347 aspect=0.77
46: x=0.74656 y=0.76031 w=0.00597 h=0.01122 area=2307 aspect=1.07
47: x=0.25634 y=0.90414 w=0.00922 h=0.01084 area=2275 aspect=0.67
48: x=0.70253 y=0.46234 w=0.00683 h=0.00913 area=2269 aspect=0.76
49: x=0.65279 y=0.42006 w=0.00618 h=0.00989 area=2247 aspect=0.91
50: x=0.53810 y=0.60419 w=0.00770 h=0.00932 area=2243 aspect=0.69
51: x=0.36284 y=0.47609 w=0.02202 h=0.02434 area=2173 aspect=0.63
52: x=0.70088 y=0.58554 w=0.00607 h=0.00913 area=2166 aspect=0.86
53: x=0.54672 y=0.72965 w=0.00662 h=0.01046 area=2151 aspect=0.90
54: x=0.65876 y=0.52898 w=0.00629 h=0.00894 area=2135 aspect=0.81
55: x=0.60012 y=0.29275 w=0.00673 h=0.01579 area=2094 aspect=1.34
56: x=0.25460 y=0.24514 w=0.01486 h=0.02358 area=2066 aspect=0.91
57: x=0.72151 y=0.50178 w=0.00673 h=0.01008 area=2066 aspect=0.85
58: x=0.55624 y=0.33865 w=0.00781 h=0.01255 area=2038 aspect=0.92
59: x=0.64448 y=0.43780 w=0.00597 h=0.00875 area=2018 aspect=0.84
60: x=0.46166 y=0.75433 w=0.01106 h=0.02263 area=2017 aspect=1.17
61: x=0.66618 y=0.45789 w=0.00781 h=0.00894 area=2013 aspect=0.65
62: x=0.76523 y=0.28967 w=0.00889 h=0.01255 area=1950 aspect=0.80
63: x=0.82590 y=0.11251 w=0.02039 h=0.02815 area=1948 aspect=0.79
64: x=0.56789 y=0.50451 w=0.00586 h=0.01008 area=1946 aspect=0.98
